Estación meteorológica AEMET 3195 — Resumen diario, enero 2026
T = temperatura (°C), P = precipitación (mm), HR = humedad relativa (%), V = viento medio (km/h), Pr = presión (hPa)

Día   T máx   T mín   T med   P      HR    V      Racha   Pr      Sol (h)
01    9,4     1,2     5,3     0,0    71    12,4   38,9    1024,3  6,8
02    10,1    0,8     5,5     0,0    68    9,7    29,5    1026,1  7,2
03    8,7     -0,4    4,2     0,2    78    14,1   45,0    1019,8  3,1
04    7,2     2,1     4,7     6,8    89    22,3   61,2    1011,4  0,4
05    6,9     3,4     5,2     12,4   93    26,8   72,7    1005,9  0,0
06    8,1     2,7     5,4     3,1    85    18,0   52,6    1010,2  1,9
07    10,6    1,5     6,1     0,0    72    10,2   33,1    1018,7  7,5
08    11,3    0,9     6,1     0,0    66    8,5    27,4    1023,5  7,9
09    12,0    1,8     6,9     0,0    64    7,9    24,8    1025,0  8,1
10    9,8     3,2     6,5     1,6    80    15,6   47,3    1017,2  2,4
11    7,5     2,9     5,2     9,7    91    24,4   68,0    1008,6  0,1
12    6,4     1,1     3,8     4,2    88    19,7   55,8    1012,3  1,2
13    5,9     -1,3    2,3     0,0    76    11,0   34,6    1021,9  6,6
14    6,8     -2,0    2,4     0,0    70    9,3    30,2    1027,4  7,8
15    8,2     -1,6    3,3     0,0    69    8,8    28,7    1028,0  7,9
16    9,5     0,3     4,9     0,0    73    10,6   32,9    1024,8  6,3
17    10,9    2,2     6,6     0,0    75    12,9   39,4    1020,1  5,0
18    9,1     4,0     6,6     7,3    90    21,5   63,7    1009,7  0,3
19    7,7     3,6     5,7     15,9   95    28,1   78,4    1003,2  0,0
20    8,4     2,8     5,6     5,5    87    20,0   57,1    1008,9  1,1
21    10,2    1,4     5,8     0,0    74    13,2   40,5    1016,6  6,0
22    11,7    0,6     6,2     0,0    67    9,0    28,0    1022,3  7,7
23    12,4    1,0     6,7     0,0    65    7,6    23,9    1024,9  8,0
24    11,0    2,5     6,8     0,4    77    14,8   44,2    1018,4  3,9
25    8,6     3,1     5,9     8,2    92    23,6   66,5    1007,8  0,2
26    7,3     1,9     4,6     2,9    86    17,3   50,9    1013,0  1,6
27    8,9     -0,7    4,1     0,0    72    10,9   35,3    1021,2  6,9
28    9,7     -1,1    4,3     0,0    68    9,1    29,8    1025,7  7,6
29    10,4    0,2     5,3     0,0    70    8,4    26,6    1026,3  7,4
30    11,1    1,3     6,2     0,0    71    10,0   31,0    1023,1  6,5
31    9,3     2,6     6,0     3,7    84    16,2   48,8    1015,5  2,2

Mes   12,4    -2,0    5,3     82,0   77,6  14,6   78,4    1017,3  145,6
Normal 1991–2020: T med 5,9 · P 61,3 mm · Sol 128,4 h
